DATE,basis,vol_5d,vol_20d,spread_proxy_bps,volume_z,abs_basis_bps,stress
2021-07-07,0.9900958746060156,7.027057102985168,13.575506629205044,0.04769991032416859,1.3120320974157633,9900.958746060156,0
2021-07-08,0.9874303283455532,7.121763485152513,13.393789568642012,0.057182721668820546,0.6241655456242272,9874.303283455532,0
2021-07-09,0.9853699931905452,16.093868460265927,14.540579239516838,0.06904360794277666,0.02231349597848232,9853.699931905452,0
2021-07-12,0.9880067731165464,16.148881438074127,14.532062837732749,0.09424715373595717,-0.7114196041151818,9880.067731165464,0
2021-07-13,0.9849124642610372,14.43810698897451,14.531557027904988,0.04284453432275644,1.7720269406517355,9849.124642610372,0
2021-07-14,0.9882355275850666,15.684488417566373,14.901007131834609,0.062349581634307226,0.33611492169583723,9882.355275850667,0
2021-07-15,0.9891701773200018,17.901787886236686,15.179906739509702,0.05416413900684634,0.7850434093541719,9891.701773200019,0
2021-07-16,0.9888967216359336,13.466712221110303,14.542059535707477,0.07819892241884906,-0.3244762637457549,9888.967216359335,0
2021-07-19,0.990272586364864,18.644843685700717,15.057185977583599,0.024873208818049993,4.145894735335582,9902.72586364864,0
2021-07-20,0.9918921681224092,19.6516637401995,14.060130828074458,0.038948696776605854,1.689841670514739,9918.921681224092,0
2021-07-21,0.9909023226074476,23.060001053584237,15.041689207086304,0.05002776540980244,0.7539238646805717,9909.023226074476,0
2021-07-22,0.9939583368833534,22.684400794330937,15.199968127533111,0.05513621401672832,0.44553144153129043,9939.583368833535,0
2021-07-23,0.989304115714529,23.3736930164135,15.527498550324879,0.07911830560236721,-0.4273715310167101,9893.04115714529,0
2021-07-26,0.9851468347256844,13.631600761542884,14.967001326042837,0.09312981364724289,-0.7117375470120059,9851.468347256845,0
2021-07-27,0.9923351807595824,16.19334169671436,14.995556779803804,0.07670770528899627,-0.3380635792398128,9923.351807595824,0
2021-07-28,0.9977051666959006,12.1559409318087,15.014086230261862,0.06970244028243429,-0.12393660506245781,9977.051666959005,0
2021-07-29,0.9901048824538254,11.06054591780968,15.227355403861017,0.08671522719389525,-0.5533042513590783,9901.048824538255,0
2021-07-30,0.9907370325443104,10.224187639509239,15.252785422738915,0.06972479622928301,-0.11470789945098793,9907.370325443104,0
2021-08-02,0.996229573376799,10.515731319204628,15.391095254593187,0.04709716616351194,0.9897616317754696,9962.295733767989,0
2021-08-03,0.9937974619835356,8.610528670453187,14.961372453213887,0.07483965603694084,-0.25718801617649456,9937.974619835355,0
2021-08-04,0.9909167494973824,8.482577561390757,14.707366227833877,0.054740829542530886,0.5199400750177953,9909.167494973824,0
2021-08-05,0.9911946740527112,8.228716966178625,14.82691264965546,0.06516610841033794,0.05190450787737681,9911.946740527112,0
2021-08-06,0.9855431042523912,15.222267480439358,15.19937986060453,0.047294069796588206,0.9781030759787188,9855.431042523913,0
2021-08-09,0.9853605340237084,11.728410921075819,15.257446319526222,0.07726542217826679,-0.33264115496814145,9853.605340237084,0
2021-08-10,0.9865938177237726,10.85780801875227,15.081611285781834,0.07290276957621619,-0.19880584166998108,9865.938177237726,0
2021-08-11,0.9853727937843356,9.785605026912153,14.533824548224022,0.0580463906754278,0.3388829434765068,9853.727937843356,0
2021-08-12,0.9925543914544956,10.308358327254377,13.938357333917537,0.06798373828980109,-0.07995597738869716,9925.543914544956,0
2021-08-13,0.9958892803401644,13.306412510066796,15.097936461297703,0.053608380061971286,0.5505566350085421,9958.892803401644,0
2021-08-16,0.9919915839832798,12.650165757806494,12.788898277311073,0.05216239195864565,0.6173454802038302,9919.915839832798,0
2021-08-17,0.991190529930521,11.506288880269386,12.350763009669938,0.07078693839412752,-0.21376819935494842,9911.90529930521,0
2021-08-18,0.9996267838398208,11.031340731894412,11.502622717871605,0.07608034083992697,-0.397642124589082,9996.26783839821,0
2021-08-19,1.002054942471315,9.981837038005326,11.309500768566473,0.06462327859741636,-0.019626004559900025,10020.54942471315,0
2021-08-20,0.9998832957762596,4.765054440734262,10.99481254962741,0.08072067417907074,-0.5431655174288866,9998.832957762595,0
2021-08-23,0.9985544101811096,5.340189312675774,10.921365737439274,0.09420631182289213,-0.8394300486068369,9985.544101811096,0
2021-08-24,0.9969415909142196,8.879703329393163,10.689524569024911,0.07227574642777124,-0.312650248431458,9969.415909142197,0
2021-08-25,0.9977585997165732,10.330995279047972,11.084532169527712,0.05972359918298117,0.16333958499561269,9977.585997165732,0
2021-08-26,0.9980391748239876,8.038884453674308,10.970537073582754,0.06003337855847851,0.12472737649309618,9980.391748239876,0
2021-08-27,1.0010989400064283,10.457087980434695,11.115331701424967,0.06499964250196624,-0.10725859188060324,10010.989400064283,0
2021-08-30,1.0010619405136345,10.859718088564726,10.66512099379779,0.09437256400819154,-0.913802162170867,10010.619405136345,0
2021-08-31,0.9961552175997924,10.481187159116608,10.908996939356907,0.06552049481077682,-0.13630303286620096,9961.552175997924,0
2021-09-01,0.9977506435958412,7.9356945295051675,10.897443272029218,0.0925317615271442,-0.912024755561956,9977.506435958412,0
2021-09-02,1.0012112871013046,8.184870953140928,10.901436913697175,0.10239711649719944,-1.077023985678875,10012.112871013045,0
2021-09-03,0.996940525247344,9.630136032681866,9.631415885177947,0.07735148514851485,-0.5106259896483164,9969.40525247344,0
2021-09-07,0.9957506394509644,9.885394786134055,10.030871294538288,0.06431778129381649,-0.07738666354518037,9957.506394509644,0
2021-09-08,0.99706338989014,11.710051547211409,10.156123837889762,0.06880560352835136,-0.27367508331353474,9970.6338989014,0
2021-09-09,1.003620557368509,15.040475893899293,10.936520355028504,0.04920146029934168,0.7465369963309173,10036.20557368509,0
2021-09-10,0.9981566166979352,16.13571472093923,11.46595118494831,0.0671384260067407,-0.20154588153745948,9981.566166979352,0
2021-09-13,0.9997492712826086,15.195153156383606,10.234630360063179,0.06650660743144832,-0.130419948240226,9997.492712826086,0
2021-09-14,1.0046044853499978,13.616514692285458,11.044213020353887,0.05020483572977749,0.8925520283922659,10046.044853499978,0
2021-09-15,1.004577567640472,14.968896321995139,11.144338133428985,0.08374998953125132,-0.7304607436842327,10045.77567640472,0
2021-09-16,1.0023879375187148,13.62003409849316,11.245784545862653,0.07502494579447667,-0.44124906829155053,10023.879375187147,0
2021-09-17,1.0015068108696632,12.15502432835598,11.055095237764386,0.07255367157855024,-0.3554301940563074,10015.068108696632,0
2021-09-20,1.0051639796339429,14.420569135110267,11.945827731414633,0.06821096286595182,-0.19861051475353395,10051.639796339428,0
2021-09-21,1.0087032859260814,11.517332918773612,11.948019377122739,0.09964327706809623,-1.1316941840357364,10087.032859260813,0
2021-09-22,1.0118642047569892,11.799969441710017,11.719164223996342,0.04488773577283215,1.3441148811371666,10118.642047569892,0
2021-09-23,0.995870180142719,21.063836226684664,14.073442443073436,0.04192292051833499,1.598495932403002,9958.70180142719,0
2021-09-24,1.000723161822286,21.767420410889223,14.469463678619693,0.049495394453546095,0.8437170229724239,10007.23161822286,0
